id,vader_compound_new,vader_pos_new,vader_neg_new,vader_neu_new,finbert_bull_new,finbert_bear_new,finbert_neu_new,finbert_dir_new,hybrid_sentiment_new
6bbrkc,0.7574,0.254,0.0,0.746,0.07996169,0.015905522,0.9041328,0.064056166,0.41072808275818823
6bd0aw,0.9641,0.118,0.032,0.85,0.099483654,0.01416322,0.88635314,0.085320435,0.5247102177321911
6biv15,0.9972,0.1,0.022,0.878,0.042856622,0.07037827,0.8867652,-0.027521644,0.48483917810618876
6bqqog,0.3612,0.2,0.0,0.8,0.03954014,0.016405856,0.944054,0.023134286,0.19216714279204608
6bs1ym,0.1027,0.104,0.0,0.896,0.9233818,0.014861482,0.061756767,0.90852034,0.5056101704597473
6buf7d,0.9319,0.096,0.0,0.904,0.018214427,0.039873634,0.9419119,-0.021659207,0.4551203967005014
6bypzo,0.0,0.0,0.0,1.0,0.032143317,0.031990066,0.93586653,0.00015325099,7.662549614906311e-05
6c1wvi,0.9319,0.096,0.0,0.904,0.018211415,0.039915215,0.9418734,-0.0217038,0.45509809990674255
6cake5,0.0,0.0,0.0,1.0,0.13774669,0.009819596,0.85243374,0.1279271,0.06396354734897614
6ccjv1,0.7469,0.087,0.037,0.876,0.04077291,0.2431435,0.7160835,-0.20237058,0.27226470799446106
6cf4zb,0.9319,0.096,0.0,0.904,0.01823061,0.039795376,0.941974,-0.021564767,0.45516761661767957
6chmu6,0.0,0.0,0.0,1.0,0.049087908,0.12981756,0.82109463,-0.08072965,-0.0403648242354393
6cijwf,0.9831,0.11,0.035,0.856,0.06979958,0.09100984,0.83919054,-0.02121026,0.4809448696553707
6ck1fo,-0.1027,0.0,0.123,0.877,0.020318016,0.8097137,0.16996829,-0.7893957,-0.4460478449821472
6clkan,0.9331,0.087,0.0,0.913,0.018404868,0.039350383,0.94224477,-0.020945515,0.45607724225819113
6cnnht,0.0,0.0,0.0,1.0,0.033874977,0.108899705,0.8572253,-0.075024724,-0.037512362003326416
6coy0i,-0.2023,0.195,0.258,0.547,0.27624807,0.0074667246,0.7162852,0.26878133,0.03324066708087921
6cqijo,0.9747,0.142,0.0,0.858,0.09729477,0.013386991,0.8893182,0.08390778,0.5293038915157318
6cswdr,0.9331,0.087,0.0,0.913,0.018084869,0.039364852,0.9425503,-0.021279983,0.4559100083887577
6czmcw,0.0,0.0,0.0,1.0,0.34113267,0.0072402735,0.65162706,0.3338924,0.1669462025165558
6d0d4f,0.9331,0.087,0.0,0.913,0.018087987,0.03930942,0.94260263,-0.021221433,0.4559392835825682
6d1tk3,-0.759,0.089,0.108,0.802,0.080575764,0.13077506,0.78864914,-0.0501993,-0.40459965002536774
6d62td,0.9984,0.143,0.08,0.777,0.035675533,0.03874425,0.92558026,-0.0030687153,0.4976656423330307
6d7upl,0.9331,0.087,0.0,0.913,0.018095966,0.039348207,0.9425559,-0.021252241,0.45592387950718405
6de2un,0.0,0.0,0.0,1.0,0.049046677,0.02118175,0.92977166,0.027864927,0.013932463712990284
6df1k9,-0.2047,0.027,0.045,0.928,0.043425635,0.8951176,0.061456785,-0.85169196,-0.528195980644226
6dfnsr,0.7342,0.056,0.047,0.897,0.17657986,0.51926005,0.30416006,-0.3426802,0.19575990698337553
6dn2bo,0.9592,0.133,0.02,0.847,0.056415457,0.67681867,0.26676592,-0.62040323,0.16939838490486148
6dndl3,0.0,0.0,0.0,1.0,0.42279094,0.010076671,0.56713235,0.41271427,0.20635713636875153
6dnhdu,-0.9685,0.071,0.167,0.762,0.01683673,0.8111096,0.17205366,-0.7942729,-0.8813864498138428
6dnoui,0.3034,0.295,0.189,0.516,0.117881,0.22182304,0.6602959,-0.10394204,0.09972898168563843
6ds7l4,0.0,0.0,0.0,1.0,0.06112689,0.025506645,0.9133665,0.035620246,0.017810123041272163
6dscwl,0.7227,0.067,0.017,0.916,0.05583296,0.028745815,0.91542125,0.027087145,0.3748935722768307
6dsot4,0.0,0.0,0.0,1.0,0.05868607,0.019875476,0.92143846,0.038810596,0.019405297935009003
6dtu18,0.0,0.0,0.0,1.0,0.052582946,0.020047525,0.9273695,0.03253542,0.01626770943403244
6dw4n4,0.9891,0.081,0.042,0.877,0.039519094,0.41656935,0.5439115,-0.37705025,0.30602487461566924
6dwkfp,-0.8765,0.028,0.249,0.723,0.010705027,0.8937282,0.09556676,-0.88302314,-0.8797615714073181
6dwlui,-0.9198,0.09,0.1,0.81,0.032625668,0.33221352,0.6351608,-0.29958785,-0.6096939229011535
6e1avq,-0.7399,0.0,0.207,0.793,0.02688411,0.27322245,0.6998935,-0.24633834,-0.4931191688299179
6e34s0,0.9677,0.075,0.033,0.892,0.31981522,0.25530756,0.4248772,0.06450766,0.5161038316249847
6e5kta,0.9559,0.092,0.0,0.908,0.017513018,0.041993342,0.94049364,-0.024480324,0.4657098378807306
6e73tf,-0.5859,0.127,0.211,0.663,0.025926823,0.28415942,0.6899138,-0.2582326,-0.42206629676818846
6e8zhk,-0.8876,0.082,0.112,0.806,0.012407614,0.90987957,0.07771286,-0.89747196,-0.8925359821796417
6e95gq,0.0,0.0,0.0,1.0,0.02746114,0.017800229,0.9547387,0.009660911,0.004830455407500267
6eeb2t,0.0,0.0,0.0,1.0,0.18750598,0.0113940025,0.8011,0.17611197,0.08805598318576813
6eeezr,0.8645,0.127,0.0,0.873,0.07862594,0.014377922,0.9069962,0.06424802,0.46437400898337367
6en6z9,-0.4389,0.0,0.135,0.865,0.055170648,0.10853686,0.83629245,-0.053366214,-0.24613310701847077
6envfj,0.9912,0.104,0.015,0.881,0.045317978,0.0248679,0.9298142,0.020450078,0.5058250389754773
6eo8xn,-0.296,0.0,0.155,0.845,0.034580637,0.12239149,0.8430279,-0.08781086,-0.19190542954206466
6ewb9h,0.1406,0.031,0.021,0.948,0.2561643,0.4020484,0.34178725,-0.1458841,-0.002642048311233519
6faqly,0.9973,0.148,0.095,0.758,0.039113387,0.0649157,0.8959709,-0.025802314,0.48574884285926817
6fd6ne,0.2263,0.119,0.0,0.881,0.045268234,0.033130962,0.9216008,0.012137271,0.1192186357319355
6fde8t,0.0,0.0,0.0,1.0,0.21557662,0.007501865,0.7769216,0.20807475,0.10403737425804138
6fgydo,0.9511,0.163,0.0,0.837,0.1645705,0.009877576,0.8255519,0.15469292,0.552896459031105
6fiz91,0.8313,0.494,0.0,0.506,0.22238255,0.0497294,0.727888,0.17265314,0.5019765693187714
